supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,74.0889669556499,44.430881508906936,85.90381237800337,70.60931764412258,0.0,0.0
0.9,50.0,25.0,76.993877164065,46.73180232052136,77.36744724685735,74.4050587331536,0.0,0.0
0.9,50.0,50.0,80.15738634829371,49.18033481681903,69.6694402320003,76.54021812138036,0.0,0.0
0.9,50.0,75.0,80.16135257993811,48.49931609108126,72.66920804451514,75.66041182367123,0.0,0.0
0.9,50.0,100.0,73.18667885117283,44.603945697995364,87.48110279480966,70.9342379799239,0.0,0.0
0.9,100.0,0.0,86.56447271027373,54.97713784217036,73.72915699497655,77.78342669103785,0.0,0.0
0.9,100.0,25.0,88.43259255470797,56.83790676220102,70.9237165195048,78.4270101935854,0.0,0.0
0.9,100.0,50.0,90.13305391006777,57.40222119300689,67.38644960113318,79.39929297576435,0.0,0.0
0.9,100.0,75.0,89.34329613506831,57.19591737937197,68.66720944617697,79.02589604177744,0.0,0.0
0.9,100.0,100.0,84.86478533375796,54.16123342364975,74.99537053678306,76.79995305393412,0.0,0.0
0.9,150.0,0.0,96.11163519654058,64.6993442465305,71.77106377859252,79.68493550254706,0.0,0.0
0.9,150.0,25.0,98.66691822420574,65.17364785389007,67.25550547323859,79.84951942992231,0.0,0.0
0.9,150.0,50.0,98.85892190485492,67.66216941273716,67.66893411600881,81.50545954351628,0.0,0.0
0.9,150.0,75.0,98.34344566666834,67.5514850712209,70.18838059211926,81.9417104604895,0.0,0.0
0.9,150.0,100.0,95.28210770667238,64.97452412944014,72.30017426251139,80.02754512019973,0.0,0.0
0.9,1000.0,0.0,105.2316375231372,73.0116119756675,66.49550575526263,82.09475858950138,0.0,0.0
0.9,1000.0,25.0,106.60716305015184,73.80831899792466,64.65497706823125,83.36417431409303,0.0,0.0
0.9,1000.0,50.0,107.38052367962196,73.85956480178602,62.97918686918542,83.59550806136123,0.0,0.0
0.9,1000.0,75.0,106.29673014477073,72.89293026713558,64.85059654502919,83.17695622230235,0.0,0.0
0.9,1000.0,100.0,104.71941687917244,73.12454126804738,68.33638289348234,82.68462699532735,0.0,0.0
1.0,50.0,0.0,91.53041162188931,41.79825057605838,58.15971043466961,64.49350713641331,0.0,0.0
1.0,50.0,25.0,93.63014924409647,42.518554839386816,50.053814742001684,63.81075334831879,0.0,0.0
1.0,50.0,50.0,95.12968047502653,44.53332912762696,44.814318184874196,64.93443930576444,0.0,0.0
1.0,50.0,75.0,96.65518927043017,45.72085570919611,43.52378551782766,66.34097873358684,0.0,0.0
1.0,50.0,100.0,92.66896575516147,40.14546263317559,53.843066943554646,61.43300356881747,0.0,0.0
1.0,100.0,0.0,101.79420952803912,52.17201609502505,50.62990916214388,68.15426549427151,0.0,0.0
1.0,100.0,25.0,103.58020450648887,52.51279101525825,48.36761949049355,69.1555928326628,0.0,0.0
1.0,100.0,50.0,104.47871505606378,54.25515329428498,47.417674200334325,69.88382248142501,0.0,0.0
1.0,100.0,75.0,105.52413848674264,54.12725814986134,44.26544036150011,68.26336742774672,0.0,0.0
1.0,100.0,100.0,101.22395554539848,51.260137538385806,51.379555001854186,67.46194260457901,0.0,0.0
1.0,150.0,0.0,109.93102026639575,62.41236423699318,53.63571320205861,72.06057168267658,0.0,0.0
1.0,150.0,25.0,113.04909937052605,62.390248952735476,48.915298927449435,71.70951492878469,0.0,0.0
1.0,150.0,50.0,113.73182505158753,63.479214137790144,47.532191065113146,72.14122167168055,0.0,0.0
1.0,150.0,75.0,112.87447625558268,64.59996608439486,50.6412868914455,73.28742047496642,0.0,0.0
1.0,150.0,100.0,109.46661665514206,63.020916117816405,55.25758528259653,71.95820910240883,0.0,0.0
1.0,1000.0,0.0,118.86263131519365,68.63232393305073,49.43499987748723,73.53517555858406,0.0,0.0
1.0,1000.0,25.0,120.56861124466828,67.23997857212727,44.86663845100503,72.28509596215277,0.0,0.0
1.0,1000.0,50.0,121.44102492078007,66.84737424525999,41.47073869202428,71.40577397710426,0.0,0.0
1.0,1000.0,75.0,120.89182716582764,69.44722463492245,46.830795874347224,74.23758746503152,0.0,0.0
1.0,1000.0,100.0,118.42403131358628,67.16322386120582,48.93496491298816,72.55588246600861,0.0,0.0
1.05,50.0,0.0,101.96529999473019,37.10593610625657,33.47058099619022,51.5650647466245,0.0,0.0
1.05,50.0,25.0,101.50683445398549,40.31205845138894,37.89290905038935,57.07157117264436,0.0,0.0
1.05,50.0,50.0,104.29341795493038,38.69553944459761,28.5195269384177,51.44052254829737,0.0,0.0
1.05,50.0,75.0,104.50938789402004,41.31496055319645,28.5763707429966,54.59458599729967,0.0,0.0
1.05,50.0,100.0,101.15959816321858,37.80625810101437,37.72008268958285,52.28464617666864,0.0,0.0
1.05,100.0,0.0,109.44001697157846,48.70013814960007,40.37459185676649,60.80341475723791,0.0,0.0
1.05,100.0,25.0,112.20894786695168,49.95430679271865,34.34656228133296,59.61064018111487,0.0,0.0
1.05,100.0,50.0,113.84044833083037,50.228379738466685,31.8179227360534,59.295117480989155,0.0,0.0
