supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,74.61734095786895,44.508466580825576,84.57342273506428,71.91141860569148,0.0,0.0
0.9,50.0,25.0,77.29124869517558,46.85811893134862,77.04589676568774,74.07702899294934,0.0,0.0
0.9,50.0,50.0,80.02399923148039,48.714137961018274,69.22858796458286,76.580336935586,0.0,0.0
0.9,50.0,75.0,79.8433235930509,48.61867687638951,73.8284651123991,75.4516334177225,0.0,0.0
0.9,50.0,100.0,73.72471780763141,44.080036943633814,87.27696670420266,70.22103515059013,0.0,0.0
0.9,100.0,0.0,86.0969402785666,55.70684046852093,75.10959420380344,78.52352491853081,0.0,0.0
0.9,100.0,25.0,87.74318528313154,57.261037180912076,71.49677432955833,80.24204351708586,0.0,0.0
0.9,100.0,50.0,89.28494826772119,58.04255417401286,69.73612807979936,79.82824870058884,0.0,0.0
0.9,100.0,75.0,88.43531454428127,57.34301575858827,70.59707531067288,79.83461214372544,0.0,0.0
0.9,100.0,100.0,84.669748902201,53.99209126941497,75.61804775817545,76.81427842058308,0.0,0.0
0.9,150.0,0.0,95.17849560578627,64.38611664256014,72.33516599430965,79.3092829917059,0.0,0.0
0.9,150.0,25.0,97.56326055481948,65.2166092657824,67.34656712789418,80.81174944465064,0.0,0.0
0.9,150.0,50.0,97.37320588188454,66.87840840173727,68.76780134252381,81.41607853396255,0.0,0.0
0.9,150.0,75.0,96.85833252366945,66.8400864329894,71.93743221297633,81.35056883509107,0.0,0.0
0.9,150.0,100.0,94.46264085870489,63.89190907428709,72.32347482558303,79.71422604854956,0.0,0.0
0.9,1000.0,0.0,103.30515904227327,74.25593371064876,69.5645189193569,83.35343969997008,0.0,0.0
0.9,1000.0,25.0,104.25115696308018,74.77141784777977,67.33486816500128,85.44052588951189,0.0,0.0
0.9,1000.0,50.0,104.94210302207472,74.75732392633958,66.27334805712015,86.05598355233779,0.0,0.0
0.9,1000.0,75.0,104.1613211380004,73.66517960373656,67.58538928089592,84.31012197137426,0.0,0.0
