supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,70.90170004458413,45.40751213648294,90.07212754100244,72.98829356154125,0.0,0.0
0.9,50.0,25.0,75.23026022721221,47.431422586668596,80.46176380619059,75.46610625783006,0.0,0.0
0.9,50.0,50.0,80.45603115240947,48.69097940070312,68.36726568306908,76.44130917170313,0.0,0.0
0.9,50.0,75.0,83.9065147445357,49.13092802321207,65.75450383848091,75.75726940180961,0.0,0.0
0.9,50.0,100.0,70.10970214114815,45.48845884660292,92.2335848378046,71.12071841258394,0.0,0.0
0.9,100.0,0.0,88.18272698077014,54.40966830576344,72.73880276842236,76.01531732325343,0.0,0.0
0.9,100.0,25.0,91.99156664402983,56.03425432391094,66.33324516134603,76.72561961456178,0.0,0.0
0.9,100.0,50.0,94.55237237279,57.4226001045283,62.74842831241628,75.94092502913712,0.0,0.0
0.9,100.0,75.0,95.21206628484333,56.90051481865455,61.55888825223903,76.35282670406842,0.0,0.0
0.9,100.0,100.0,86.87874061127583,54.59081740043111,73.49703068687468,75.96962856789943,0.0,0.0
0.9,150.0,0.0,101.31867296751257,62.7802351492279,63.027709244011795,77.58017264993053,0.0,0.0
0.9,150.0,25.0,104.55369957534924,63.78656762482061,58.209780437013215,76.47487264555899,0.0,0.0
0.9,150.0,50.0,106.4115419151625,64.45888037745915,56.07912886859273,76.74901301236677,0.0,0.0
0.9,150.0,75.0,106.58576278431019,65.24251600510225,57.86734138205126,77.35600900646516,0.0,0.0
0.9,150.0,100.0,100.5450793139889,63.93863218799336,63.974644034329174,77.51823771390629,0.0,0.0
0.9,1000.0,0.0,111.94901941839221,69.68717391001421,56.48905628747451,76.70634559656652,0.0,0.0
0.9,1000.0,25.0,114.35609638529071,68.71499500671057,53.00602910350125,75.95380688726617,0.0,0.0
0.9,1000.0,50.0,116.13657078435841,68.07642643684208,49.88546149182033,75.02952511977325,0.0,0.0
0.9,1000.0,75.0,114.55330612074162,69.05939507633879,52.56986482934607,76.13727906801846,0.0,0.0
0.9,1000.0,100.0,111.60435321899179,69.8029842213067,58.40554988101354,77.13183030955342,0.0,0.0
1.0,50.0,0.0,96.41708474442159,40.42301396621331,49.795460691293535,60.818025557668754,0.0,0.0
1.0,50.0,25.0,98.50771918904093,40.75632997488126,40.78619669275985,58.164790644521986,0.0,0.0
1.0,50.0,50.0,101.09382275076433,41.357335262450555,35.85825334757134,56.86320862210534,0.0,0.0
1.0,50.0,75.0,104.54809670300887,41.77388736414614,30.675663949675016,55.79560530671373,0.0,0.0
1.0,50.0,100.0,95.99824359139996,38.81656085612277,47.8506843703942,57.70144984451025,0.0,0.0
1.0,100.0,0.0,110.1548070822101,49.55611298074856,39.78129898740179,60.463691632789256,0.0,0.0
1.0,100.0,25.0,113.32913462361664,49.591627519472276,34.41344675423024,57.91901828211098,0.0,0.0
1.0,100.0,50.0,115.18137633952027,49.98367844309149,32.81673026690759,57.86587277696332,0.0,0.0
1.0,100.0,75.0,117.48769799854198,49.382715175990256,29.08082172231251,55.184974148153344,0.0,0.0
1.0,100.0,100.0,110.07267977910833,49.43147037669805,41.68989107744061,60.30672111699689,0.0,0.0
1.0,150.0,0.0,121.46371216223689,58.337092871952386,36.95704054149294,62.00662089280286,0.0,0.0
1.0,150.0,25.0,124.12269351552065,55.06888372301851,30.435558314818348,57.6110210204518,0.0,0.0
1.0,150.0,50.0,126.45392345074337,55.09781407680354,26.813594195720395,56.095619373431965,0.0,0.0
1.0,150.0,75.0,127.31273249879342,56.36271679070894,26.657647280837107,55.554948647890264,0.0,0.0
1.0,150.0,100.0,121.56561310524631,58.112850613936864,37.2014950185848,62.239308379749936,0.0,0.0
1.0,1000.0,0.0,130.57859989687947,57.98399747493963,29.163878388047575,55.780486073574444,0.0,0.0
1.0,1000.0,25.0,131.74223918135377,56.48523975104687,25.471616221704334,53.116763958424364,0.0,0.0
1.0,1000.0,50.0,132.85564070233633,51.22538079827931,17.608579950063227,43.93121349020675,0.0,0.0
1.0,1000.0,75.0,134.71600813138426,56.35279933588157,22.13692017727966,51.72203734584556,0.0,0.0
1.0,1000.0,100.0,129.78216886759205,59.534461766462016,31.538672408226688,57.14102067536519,0.0,0.0
1.05,50.0,0.0,113.38312397749219,33.49977241726278,11.82520049841743,30.66677850227366,50.88352289488148,120.17500380547581
1.05,50.0,25.0,113.85479203514349,35.19707339627063,14.782996022561354,35.27184305182774,25.42951899502953,64.84921641275415
1.05,50.0,50.0,116.06365660701086,33.47407819415207,7.48819586696914,24.888162256203596,47.17199794947587,100.46890662338815
1.05,50.0,75.0,117.51061705793745,33.81933886850824,6.794431401346585,24.37920896359667,26.27116070913289,66.07474357028437
1.05,50.0,100.0,113.0016367020125,33.3747701098568,13.069105169934538,30.739087298693903,0.0,0.0
1.05,100.0,0.0,123.99551797440144,43.50647230401973,19.43842434068628,41.73601709411798,1.3112458919811145,3.9337376759433433
1.05,100.0,25.0,126.40945735558402,40.88007195220464,10.979781758724494,32.09070610564937,17.563092827093673,46.95647710970068
1.05,100.0,50.0,128.355005938456,38.51659837539211,5.991221731634276,22.806026651740435,40.89449961975296,88.19961473003444
1.05,100.0,75.0,129.0826781071623,40.43364020348175,7.844216071065027,26.276075979186874,30.83462675535846,56.431645044327176
1.05,100.0,100.0,124.23775051300868,44.06667629642919,20.645846974648876,43.11394841245868,0.0,0.0
1.05,150.0,0.0,133.85728696228816,51.081654654986494,17.66922170390117,42.87635130939867,2.185514989611161,6.556544968833482
1.05,150.0,25.0,135.36487480245125,45.69718695079746,9.830450398199893,31.465066608934304,21.18806293068071,55.83963357406674
1.05,150.0,50.0,134.68039267775924,38.569881339950264,0.7713298880580158,6.315148097850426,331.0978087443283,339.2620093173783
1.05,150.0,75.0,128.82725352128918,37.07621071160281,2.4993067484456195,9.402311051120412,1024.666925424857,294.0500610230592
1.05,150.0,100.0,134.36332747185293,52.441024910840724,20.177235052011145,44.29131379864014,0.0,0.0
1.05,1000.0,0.0,141.942039010642,46.51431326010419,8.21510522782523,27.35318548201576,40.335528729409944,96.56960087853831
1.05,1000.0,25.0,130.89831297837048,35.44961858679717,0.04444933142959468,0.26990382081969605,1200.6838513179584,478.41928019835814
1.05,1000.0,50.0,124.59459532653955,32.24727083478774,0.05403294336832132,0.29216221283960314,2025.5347237261278,700.2114295684624
1.05,1000.0,75.0,127.33674455783547,34.690388685732266,0.13641591201293074,0.9687489113406986,1668.7492742326783,598.5837657870889
1.05,1000.0,100.0,142.7632838523606,48.179820299551274,10.646745670179625,30.834149536205086,0.0,0.0
