supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,70.81126326336306,45.45254091831171,90.06521058046444,73.35422992381542,0.0,0.0
0.9,50.0,25.0,75.2148526005672,47.5034197009936,79.95241751730583,75.69199998096838,0.0,0.0
0.9,50.0,50.0,80.47740793466701,48.582850410639196,68.54638656781428,76.44579909187568,0.0,0.0
0.9,50.0,75.0,83.94082234037539,48.864780374443676,65.01033134301422,75.49681790423618,0.0,0.0
0.9,50.0,100.0,70.01645221264215,45.00760744202059,92.83084364553876,70.02576220407957,0.0,0.0
0.9,100.0,0.0,88.19774693135444,54.56243465168176,72.75837355095544,76.01833528373355,0.0,0.0
0.9,100.0,25.0,92.08867917595812,56.276838582568104,66.76627757362348,76.79373711539364,0.0,0.0
0.9,100.0,50.0,94.66283029551509,57.878625567573714,62.92121449748637,76.41303990378016,0.0,0.0
0.9,100.0,75.0,95.40052666093409,56.91320237721302,61.473996995848374,76.26981932087932,0.0,0.0
0.9,100.0,100.0,86.95457780247177,54.58128863472498,73.19701935316047,76.04619340997733,0.0,0.0
0.9,150.0,0.0,101.44113499507864,62.857224656382954,62.83695603601217,77.61156820055392,0.0,0.0
0.9,150.0,25.0,104.67202908580585,63.66675289592947,58.48487727352725,76.30851912570077,0.0,0.0
0.9,150.0,50.0,106.57477734220595,64.66339405189575,55.77021984285367,76.95328295265061,0.0,0.0
0.9,150.0,75.0,106.8202171848327,65.58669365733356,57.51856803825129,77.41343693320418,0.0,0.0
0.9,150.0,100.0,100.71148286452605,63.598549069319176,63.66630653690842,77.63741312088142,0.0,0.0
0.9,1000.0,0.0,112.09524845850733,69.62221958048993,56.25942293251624,76.32761130664396,0.0,0.0
0.9,1000.0,25.0,114.45743950034306,68.93503506818034,53.58277134667092,75.57053453718787,0.0,0.0
0.9,1000.0,50.0,116.26771599260353,67.70447019179794,49.37556868980647,74.8244765457786,0.0,0.0
0.9,1000.0,75.0,114.69471035033087,68.79872677677673,52.2336224343876,75.52301900854762,0.0,0.0
0.9,1000.0,100.0,111.7295773242359,69.95703143501363,58.05009354148253,77.23376052420107,0.0,0.0
1.0,50.0,0.0,96.586890838956,40.30711975066615,49.51791961886935,60.48557902596042,0.0,0.0
1.0,50.0,25.0,98.68222772378506,40.65018970233549,41.23165644538819,58.06003537414651,0.0,0.0
1.0,50.0,50.0,101.29985798862769,41.38304234792587,35.32889711264278,56.551874874569386,0.0,0.0
1.0,50.0,75.0,104.78197685070711,42.07076714319182,30.213380510840363,55.9109828184119,0.0,0.0
1.0,50.0,100.0,96.11677550289342,38.88626661423793,47.871669995925906,57.697328482370665,0.0,0.0
1.0,100.0,0.0,110.45006636190509,49.45621686202705,39.36930033432555,60.202415244705854,0.0,0.0
1.0,100.0,25.0,113.58379862832048,49.73507119912178,35.15858400150154,58.04319327638427,0.0,0.0
1.0,100.0,50.0,115.49207152403794,49.66747128200367,32.987410430166314,58.02894766290129,0.0,0.0
1.0,100.0,75.0,117.80266958120785,49.28844294671393,28.620026149464923,54.932040579988126,0.0,0.0
1.0,100.0,100.0,110.33033517827407,49.214968604195,41.32397336867168,60.384798362023595,0.0,0.0
1.0,150.0,0.0,121.85278015985922,58.11938583804696,36.69727163193747,61.63882294843264,0.0,0.0
1.0,150.0,25.0,124.37524160639468,54.57728741491252,29.941965780462095,56.67111105163503,0.0,0.0
1.0,150.0,50.0,126.8005320571193,54.652048260990064,25.752381053919567,54.61705720003304,0.0,0.0
1.0,150.0,75.0,127.68872655274788,55.80610534422516,26.25374353456581,54.84390039866241,0.0,0.0
1.0,150.0,100.0,121.92457742255182,57.88315759594122,36.74304303551923,61.64673486856568,0.0,0.0
