supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,73.73914042308374,44.97601995875477,86.65793914651978,71.58859386530676,0.0,0.0
0.9,50.0,25.0,76.83779660123986,46.52628780370021,77.80806347254631,74.48939827689267,0.0,0.0
0.9,50.0,50.0,80.27328919097029,49.059138373746556,69.40965892425415,76.51097920550716,0.0,0.0
0.9,50.0,75.0,80.53835807948023,49.350738872809536,72.4161334327547,76.00243029639336,0.0,0.0
0.9,50.0,100.0,72.80660780909191,44.41662745448133,88.20264546268572,70.9396662213726,0.0,0.0
0.9,100.0,0.0,86.9245425838182,55.06247327976021,74.02856876977263,77.26470188223858,0.0,0.0
0.9,100.0,25.0,88.89122176639279,57.1050749738525,71.81312710564247,78.23143615754721,0.0,0.0
0.9,100.0,50.0,90.79303739989432,57.292647316370996,66.65857156477084,78.80976533531312,0.0,0.0
0.9,100.0,75.0,90.01189320061657,57.2118047093032,68.4917949148789,78.32812994220807,0.0,0.0
0.9,100.0,100.0,85.10921584035165,54.522669794816466,75.8761637751401,76.16269710079935,0.0,0.0
0.9,150.0,0.0,96.71368103505438,64.63872946685571,69.9228679521542,79.88355430145236,0.0,0.0
0.9,150.0,25.0,99.24011532119107,64.98481803004286,66.55110608100222,80.07104896624857,0.0,0.0
0.9,150.0,50.0,99.79987086056595,67.29972059279591,66.26331659582111,81.18072175577157,0.0,0.0
0.9,150.0,75.0,99.2713438763257,67.05927986651625,68.90787688723074,81.79365342820886,0.0,0.0
0.9,150.0,100.0,95.76627328177199,65.3278920248642,71.26390359057793,80.19114682823587,0.0,0.0
0.9,1000.0,0.0,106.32461486209611,72.33800060346206,65.0890127937122,81.42207937291097,0.0,0.0
0.9,1000.0,25.0,107.94122623526766,72.79921164331272,63.22861582465427,82.51833285257216,0.0,0.0
0.9,1000.0,50.0,108.80257148505423,72.9783061118074,61.554571612710646,82.56006280968967,0.0,0.0
0.9,1000.0,75.0,107.5095226234104,72.60719208394933,62.6285895168479,82.13330599308875,0.0,0.0
0.9,1000.0,100.0,105.75719637795267,72.91036908950177,67.33407986786422,81.86169244310064,0.0,0.0
1.0,50.0,0.0,91.97045158719483,41.88894111271224,57.57702617467779,64.27758105913851,0.0,0.0
1.0,50.0,25.0,94.07189171288098,42.49260396044523,48.74528407502879,63.587709637220804,0.0,0.0
1.0,50.0,50.0,95.77382975708736,43.81983765518268,43.62264689134114,64.07802736297258,0.0,0.0
1.0,50.0,75.0,97.55340849269878,45.413038728792515,41.49947575065607,65.49100484629474,0.0,0.0
1.0,50.0,100.0,92.94316975723085,40.255990911258856,53.25274677772131,60.965952014486,0.0,0.0
1.0,100.0,0.0,102.75031029081772,52.66266873325251,50.45343895588169,67.40718346528466,0.0,0.0
1.0,100.0,25.0,104.64072143363899,52.56037066734507,46.844614835200446,68.06554863666058,0.0,0.0
1.0,100.0,50.0,105.68850044952858,54.00397222225769,45.714730452960595,68.52286672602779,0.0,0.0
1.0,100.0,75.0,106.81739081776215,54.717651412583905,44.33406042764076,67.50329701541752,0.0,0.0
1.0,100.0,100.0,102.17515659654838,51.80214431458495,52.83751675484863,66.69248549406517,0.0,0.0
1.0,150.0,0.0,111.16810141906929,62.8052767773508,51.546406579405755,71.62094010003777,0.0,0.0
1.0,150.0,25.0,114.33744973236595,62.275996985556105,46.71452718671207,71.52100284308305,0.0,0.0
1.0,150.0,50.0,115.27754135707369,62.81768557634114,44.84750859676706,70.67010763873893,0.0,0.0
1.0,150.0,75.0,114.45382891192486,62.83723087392885,47.294537540807234,71.70392648032193,0.0,0.0
1.0,150.0,100.0,110.64693342193169,62.51067206646496,53.390019402995385,71.88557865332756,0.0,0.0
1.0,1000.0,0.0,120.44488898980065,67.35573342616038,46.763592915455696,71.85803722865928,0.0,0.0
1.0,1000.0,25.0,122.12020832552287,66.47468070767741,43.00526912814658,70.41453361303392,0.0,0.0
1.0,1000.0,50.0,123.19472541784188,64.64644345617488,38.291707468276805,68.68282596676697,0.0,0.0
1.0,1000.0,75.0,122.79666598412496,68.16758156632467,44.05357666557018,72.12448040518923,0.0,0.0
1.0,1000.0,100.0,119.99380038222809,66.58591199675782,46.22177205901505,70.80625234876136,0.0,0.0
1.05,50.0,0.0,102.91165249185467,36.98748580539837,32.455369439297904,50.31034794142266,1.4382875884688413,4.314862765406525
1.05,50.0,25.0,102.62990215611991,39.76115905216973,35.55931415732274,55.47923614082229,0.0,0.0
1.05,50.0,50.0,105.33913218430901,38.25211232991016,26.998937669039368,49.92623177131778,0.0,0.0
1.05,50.0,75.0,105.75203393899365,40.935924105410066,27.341257726632644,53.01042936692079,0.0,0.0
1.05,50.0,100.0,102.1282220788923,37.75629108392569,35.09300914612408,51.04605865408099,0.0,0.0
1.05,100.0,0.0,110.80486497107375,49.00198562196456,39.68676754151516,59.743365618307394,0.0,0.0
1.05,100.0,25.0,113.6646724115356,48.97620657256056,32.9291790918291,57.667729050471415,0.0,0.0
1.05,100.0,50.0,115.3668236977149,50.62578293922971,31.420650891536848,58.304783928300616,0.0,0.0
1.05,100.0,75.0,114.56778112685033,51.56088596653969,32.8504644672339,60.67193515150864,0.0,0.0
1.05,100.0,100.0,110.98834191523008,49.683915989701255,39.40302839532308,59.7904937567636,0.0,0.0
1.05,150.0,0.0,118.93332972154496,58.89437296861737,39.666124983452725,64.51015584957192,0.0,0.0
1.05,150.0,25.0,120.98598950782566,58.11025520239286,35.13627551735758,62.65978191916088,0.0,0.0
1.05,150.0,50.0,123.52771282049703,59.510713168034364,34.88356675737498,63.847217087095004,0.0,0.0
1.05,150.0,75.0,123.47887842632899,59.15634686932796,34.47432870208721,63.485358107820105,0.0,0.0
1.05,150.0,100.0,119.401344081758,59.57049628948104,41.60212431667636,64.65912798122265,0.0,0.0
