supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,70.87780390976887,45.45571761507961,89.9690346365342,73.17710687876755,0.0,0.0
0.9,50.0,25.0,75.22167316033158,47.49285116110432,80.35919033992938,75.53609764964482,0.0,0.0
0.9,50.0,50.0,80.46359514639714,48.55683344901683,68.35670326877421,76.34071840336757,0.0,0.0
0.9,50.0,75.0,83.91982105567212,49.029647684203916,65.57645338323901,75.70803158344118,0.0,0.0
0.9,50.0,100.0,70.09192719168387,45.41108660059237,92.35255138922128,70.83303928386555,0.0,0.0
0.9,100.0,0.0,88.18832378729286,54.43681287943346,72.74861528549191,75.99470083543387,0.0,0.0
0.9,100.0,25.0,92.01452543497037,56.09818350742599,66.53266737730068,76.71724197785535,0.0,0.0
0.9,100.0,50.0,94.57904354915706,57.51939475169883,62.8930658600359,75.98878201687081,0.0,0.0
0.9,100.0,75.0,95.26165851548772,56.865297904180245,61.58139838997452,76.29611925935352,0.0,0.0
0.9,100.0,100.0,86.89999932354503,54.62946075357174,73.46414703441575,76.03637875122907,0.0,0.0
0.9,150.0,0.0,101.34996505251861,62.763693870821186,62.93323462869793,77.55348250514756,0.0,0.0
0.9,150.0,25.0,104.58521635280131,63.777937430190754,58.25841766897151,76.40587707222612,0.0,0.0
0.9,150.0,50.0,106.44909370299047,64.51273888533983,56.00296374943044,76.80397553925228,0.0,0.0
0.9,150.0,75.0,106.64603867996443,65.33585461305638,57.83059601892686,77.35375918733702,0.0,0.0
0.9,150.0,100.0,100.58873509714878,63.86316970044712,63.96857571176465,77.54462032282466,0.0,0.0
0.9,1000.0,0.0,111.98870180527861,69.64714059347989,56.37974429595362,76.62672975709627,0.0,0.0
0.9,1000.0,25.0,114.38098655899209,68.73487276433816,53.12753034604848,75.79094102770966,0.0,0.0
0.9,1000.0,50.0,116.1707628170192,67.97002960808551,49.73765061008018,74.95076870991494,0.0,0.0
0.9,1000.0,75.0,114.5891457721305,68.9532376770858,52.46778811981619,75.98621690228917,0.0,0.0
0.9,1000.0,100.0,111.63537873662578,69.84680338768895,58.32229496282903,77.19212217109192,0.0,0.0
1.0,50.0,0.0,96.46341505014418,40.366096373495985,49.70043079262455,60.66238092634154,0.0,0.0
1.0,50.0,25.0,98.55303511605983,40.820804450010364,40.915894575592354,58.17064062172576,0.0,0.0
1.0,50.0,50.0,101.14794845385508,41.39482967648402,35.829268378775986,56.80473929063845,0.0,0.0
1.0,50.0,75.0,104.60785523891529,41.922945905073064,30.682492140769913,55.882969259956326,0.0,0.0
1.0,50.0,100.0,96.02755526446695,38.76428687279025,47.82182526182972,57.639821179922166,0.0,0.0
1.0,100.0,0.0,110.22685799133883,49.56811692108149,39.68746019250539,60.40503214120951,0.0,0.0
1.0,100.0,25.0,113.39392873160553,49.57171441565006,34.59363837188651,57.80444202822232,0.0,0.0
1.0,100.0,50.0,115.26035336175916,49.92439976621484,32.94131079066446,57.92972389030053,0.0,0.0
1.0,100.0,75.0,117.56662005007468,49.44310388281996,28.987016367309305,55.10733708343321,0.0,0.0
1.0,100.0,100.0,110.13921311244165,49.42127473811191,41.69306804035148,60.35936953582384,0.0,0.0
1.0,150.0,0.0,121.56050841260583,58.347472958025605,36.884099883945815,61.93237553470459,0.0,0.0
1.0,150.0,25.0,124.18875763819187,54.966810659119595,30.228096063037924,57.40684414169442,0.0,0.0
1.0,150.0,50.0,126.54281686857621,54.96065288935611,26.490542168149933,55.72629280496604,0.0,0.0
1.0,150.0,75.0,127.40640828747605,56.266421829242425,26.54124046188375,55.39386482767335,0.0,0.0
1.0,150.0,100.0,121.65795232785364,57.962096961998675,36.99824587111164,62.12848226626014,0.0,0.0
1.0,1000.0,0.0,130.65343586073357,57.948456650718235,29.06269116576435,55.58241571620025,0.0,0.0
1.0,1000.0,25.0,131.79876410759158,56.401231538505805,25.320395123537775,52.920370718298614,0.0,0.0
1.0,1000.0,50.0,132.89511472646691,51.0962126050866,17.631843558933173,43.78105766403679,0.0,0.0
1.0,1000.0,75.0,134.79621448197418,56.22696844918162,21.869076047237822,51.49514126965653,0.0,0.0
