supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,73.41525824852,45.08989397906212,86.34835069983797,71.86078618700783,0.0,0.0
0.9,50.0,25.0,76.62941350559224,46.32677017295834,78.4567938074782,73.76738075189873,0.0,0.0
0.9,50.0,50.0,80.38103210172558,48.9925193344514,68.86700453743788,76.35020120495095,0.0,0.0
0.9,50.0,75.0,81.04143808305356,49.590798545992925,70.6775962907305,76.70565775194738,0.0,0.0
0.9,50.0,100.0,72.39292296942372,44.38030706027072,89.5262451905333,70.19689519962797,0.0,0.0
0.9,100.0,0.0,87.29328132458801,54.91961750063623,73.71398382932794,77.60049920525519,0.0,0.0
0.9,100.0,25.0,89.53130628248313,57.39326941464614,70.87291917154099,78.23724876577937,0.0,0.0
0.9,100.0,50.0,91.54016957650873,57.54244075792281,66.96872923125098,78.07789136032477,0.0,0.0
0.9,100.0,75.0,90.81362806211644,57.515245956761106,69.06151085452495,78.07591797179147,0.0,0.0
0.9,100.0,100.0,85.40888240332004,54.56214150906184,75.47675580033217,76.77361699694261,0.0,0.0
0.9,150.0,0.0,97.33828413343294,64.2643234399947,68.73502789509804,79.84444899585368,0.0,0.0
0.9,150.0,25.0,99.9083507760998,65.342162247737,65.17370902702822,80.07567464169517,0.0,0.0
0.9,150.0,50.0,100.92960512639486,66.4811959368735,63.9303612318324,80.2306463559808,0.0,0.0
0.9,150.0,75.0,100.46000299045296,66.71220963553264,66.00101275709225,81.64687121542696,0.0,0.0
0.9,150.0,100.0,96.45916659233713,64.76702739066401,69.38217566556553,80.18148985883442,0.0,0.0
0.9,1000.0,0.0,107.42668779947985,71.90971103272175,63.40506648069376,80.25218528707106,0.0,0.0
0.9,1000.0,25.0,109.335835380083,71.83529986232666,61.43237829636385,81.36958206456804,0.0,0.0
0.9,1000.0,50.0,110.33057223923426,72.50991845036047,59.11773311929287,81.11475488929231,0.0,0.0
0.9,1000.0,75.0,108.90838846451688,72.95110956458065,61.44766299915637,81.34060380822736,0.0,0.0
0.9,1000.0,100.0,106.89190929610106,72.75872256100871,65.62983455796972,81.61999708176988,0.0,0.0
1.0,50.0,0.0,92.50860993560222,41.92429897010592,56.680604218404106,64.28765637375193,0.0,0.0
1.0,50.0,25.0,94.6354032688828,41.476330088449174,48.66835082951005,62.39244767131597,0.0,0.0
1.0,50.0,50.0,96.59706727532551,43.505598550128326,42.93285765067727,62.61456699459592,0.0,0.0
1.0,50.0,75.0,98.61988575334028,44.88293609275649,40.07512124058916,64.58565502808155,0.0,0.0
1.0,50.0,100.0,93.34614432980675,40.66210130879775,52.81509079396911,60.86414168627278,0.0,0.0
1.0,100.0,0.0,103.97624970556167,51.706925705961794,49.202201876799904,66.54287379104407,0.0,0.0
1.0,100.0,25.0,105.9937925894182,52.89343618094589,46.61503052926479,67.56424316108594,0.0,0.0
1.0,100.0,50.0,107.0977599291882,53.565920104655426,44.40572670291556,67.72206936874433,0.0,0.0
1.0,100.0,75.0,108.39099218056386,54.275641124778026,43.10138950037851,66.89376299110693,0.0,0.0
1.0,100.0,100.0,103.27746015477031,52.29260609131203,52.18582455717413,66.88511361196892,0.0,0.0
1.0,150.0,0.0,112.73079062437826,62.80908508213199,49.335329626023906,71.08954964298492,0.0,0.0
1.0,150.0,25.0,115.90555772649664,60.496941670233205,42.705364619807945,69.08315914194995,0.0,0.0
1.0,150.0,50.0,117.09533214323149,61.694181407769584,42.07381607435065,69.67839899135606,0.0,0.0
1.0,150.0,75.0,116.30105272557637,61.986803755956124,43.679610097281476,70.39290482599404,0.0,0.0
1.0,150.0,100.0,112.10193359274479,61.826869416851025,50.12821612552697,71.0773616942124,0.0,0.0
1.0,1000.0,0.0,122.24390221060601,65.80215875979403,43.811786146958724,69.88346577996869,0.0,0.0
1.0,1000.0,25.0,123.89500506210895,65.62209799380112,40.30031767654152,68.41397423955844,0.0,0.0
1.0,1000.0,50.0,125.07197424878193,62.912105185633656,35.733038592361616,65.84653572486333,0.0,0.0
1.0,1000.0,75.0,124.96597788821386,66.37458003069497,40.417933737378625,69.58241902239128,0.0,0.0
1.0,1000.0,100.0,121.6985632873341,65.39853079707892,43.672715847086316,68.72964372156882,0.0,0.0
1.05,50.0,0.0,104.0934647440527,37.175231671993636,29.906738645196494,49.288691115713995,3.1176485815342008,7.29202181320213
1.05,50.0,25.0,103.97096440125104,38.261114058701914,32.99855940328472,53.10917863159832,0.0,0.0
1.05,50.0,50.0,106.65167710987498,37.825412262308305,24.34864734091245,47.75230519770204,0.0,0.0
1.05,50.0,75.0,107.27647184285814,39.42000956257073,23.76947437845556,49.22801527503265,0.0,0.0
1.05,50.0,100.0,103.35175084148472,36.88218595529952,32.83737555094598,49.10510209141933,0.0,0.0
1.05,100.0,0.0,112.44757884453998,49.27554659806609,38.026483477355754,59.796738706794315,0.0,0.0
1.05,100.0,25.0,115.43497988532916,49.26011098649692,31.687347870971184,56.24021750402678,0.0,0.0
1.05,100.0,50.0,117.25632364084642,50.297643951563366,29.904956305776427,56.14749947702668,0.0,0.0
